Time	Channel A	Channel B
(s)	(V)	(V)

-0.04560095	4.83944400	0.52411420
-0.04546762	4.83944400	0.52411420
-0.04533428	4.83944400	0.52411420
-0.04520095	4.83944400	0.52411420
-0.04506761	4.83944400	0.52411420
-0.04493427	4.83944400	0.52411420
-0.04480094	4.83944400	0.52411420
-0.04466760	4.83944400	0.43676180
-0.04453427	4.83944400	0.43676180
-0.04440093	4.83944400	0.43676180
-0.04426759	4.83944400	0.52411420
-0.04413426	4.83944400	0.52411420
-0.04400092	4.83944400	0.52411420
-0.04386759	4.83944400	0.52411420
-0.04373425	4.83944400	0.52411420
-0.04360091	4.83944400	0.52411420
-0.04346758	4.83944400	0.52411420
-0.04333424	4.83944400	0.52411420
-0.04320091	4.83944400	0.52411420
-0.04306757	4.83944400	0.52411420
-0.04293423	4.83944400	0.52411420
-0.04280090	4.92741200	0.52411420
-0.04266756	4.83944400	0.52411420
-0.04253423	4.83944400	0.52411420
-0.04240089	4.92741200	0.52411420
-0.04226755	4.83944400	0.52411420
-0.04213422	4.83944400	0.43676180
-0.04200088	4.83944400	0.52411420
-0.04186755	4.83944400	0.43676180
-0.04173421	4.83944400	0.43676180
-0.04160087	4.83944400	0.43676180
-0.04146754	4.83944400	0.43676180
-0.04133420	4.83944400	0.43676180
-0.04120087	4.83944400	0.43676180
-0.04106753	4.83944400	0.43676180
-0.04093419	4.83944400	0.52411420
-0.04080086	4.92741200	0.43676180
-0.04066752	4.83944400	0.43676180
-0.04053419	4.92741200	0.43676180
-0.04040085	4.83944400	0.52411420
-0.04026751	4.83944400	0.52411420
-0.04013418	4.83944400	0.52411420
-0.04000084	4.83944400	0.52411420
-0.03986751	4.83944400	0.52411420
-0.03973417	4.83944400	0.52411420
-0.03960083	4.83944400	0.43676180
-0.03946750	4.83944400	0.43676180
-0.03933416	4.83944400	0.43676180
-0.03920083	4.83944400	0.43676180
-0.03906749	4.83944400	0.43676180
-0.03893415	4.83944400	0.43676180
-0.03880082	4.83944400	0.43676180
-0.03866748	4.83944400	0.43676180
-0.03853415	4.83944400	0.34940950
-0.03840081	4.83944400	0.34940950
-0.03826747	4.92741200	0.34940950
-0.03813414	4.92741200	0.34940950
-0.03800080	4.83944400	0.34940950
-0.03786747	4.83944400	0.43676180
-0.03773413	4.83944400	0.43676180
-0.03760079	4.83944400	0.43676180
-0.03746746	4.83944400	0.43676180
-0.03733412	4.92741200	0.52411420
-0.03720079	4.83944400	0.43676180
